fecha,Entrada general,Entrada reducida,Otros precios,Entrada gratuita,Totales
01/08/21,1296,162,25,1639,3122
01/07/21,41544,5994,1200,55031,103769
01/06/21,26115,5695,3735,41752,77297
01/05/21,18718,3661,3259,37944,63582
01/04/21,16111,4982,3246,36985,61324
01/03/21,15334,5693,2875,43487,67389
01/02/21,8250,2706,754,26800,38510
01/01/21,5817,1560,448,16209,24034
01/12/20,9331,3135,674,26268,39408
01/11/20,8727,3534,702,28558,41521
01/10/20,8160,3541,656,26218,38575
01/09/20,11316,3308,467,19703,34794
01/08/20,19927,4475,483,24691,49576
01/07/20,19681,5587,473,24833,50574
01/06/20,13985,5649,419,21305,41358
01/05/20,0,0,0,0,0
01/04/20,0,0,0,0,0
01/03/20,21213,3075,3679,34241,62208
01/02/20,83063,10457,14695,136280,244495
01/01/20,98778,12809,15337,122728,249652
01/12/19,89201,12138,13337,145893,260569
01/11/19,102457,14667,14933,129915,261972
01/10/19,129154,15795,11442,124096,280487
01/09/19,120094,20582,13358,105018,259052
01/08/19,103618,11432,11319,123605,249974
01/07/19,113670,11489,11018,138562,274739
01/06/19,122873,15282,13944,143186,295285
01/05/19,121308,16310,14728,149895,302241
01/04/19,127188,13647,14963,146179,301977
01/03/19,106085,11531,15309,147033,279958
01/02/19,78106,8269,15213,120687,222275
01/01/19,81850,9152,13281,110605,214888
01/12/18,85638,10069,15443,111891,223041
01/11/18,80670,10224,11157,135995,238046
01/10/18,115178,15853,11382,119379,261792
01/09/18,105032,14633,10009,96870,226544
01/08/18,87715,7352,9058,111018,215143
01/07/18,92576,7797,8748,121300,230421
01/06/18,102928,11753,13798,123277,251756
01/05/18,110011,16293,17736,122750,266790
01/04/18,112907,13539,17944,135332,279722
01/03/18,98655,13434,17409,142715,272213
01/02/18,72993,11397,18199,117200,219789
01/01/18,75703,10775,14530,106672,207680
01/12/17,77264,11009,15346,109030,212649
01/11/17,77968,10396,12962,110673,211999
01/10/17,110552,14470,10484,108500,244006
01/09/17,108649,15378,9430,84159,217616
01/08/17,90604,8378,12528,99597,211107
01/07/17,94754,7945,10934,106760,220393
01/06/17,110334,12717,15870,122567,261488
01/05/17,112936,16741,19439,131576,280692
01/04/17,115276,14256,18444,145365,293341
01/03/17,88213,9545,16841,127673,242272
01/02/17,74688,8716,16915,122387,222706
01/01/17,80304,8340,12167,105259,206070
01/12/16,76775,9644,12502,110151,209072
01/11/16,75408,10835,14193,104005,204441
01/10/16,106103,14395,9693,111221,241412
01/09/16,129796,22145,21281,114203,287425
01/08/16,111245,14380,22780,123729,272134
01/07/16,105517,12670,19248,130637,268072
01/06/16,112966,21089,25186,139934,299175
01/05/16,102324,17630,19765,131502,271221
01/04/16,93345,15505,21610,139940,270400
01/03/16,90400,16674,23923,149523,280520
01/02/16,70472,12600,21001,125086,229159
01/01/16,68685,11953,16923,103162,200723
01/12/15,67857,12058,17665,101034,198614
01/11/15,71473,11957,13859,99065,196354
01/10/15,106367,17282,13001,113782,250432
01/09/15,93900,15178,10165,86126,205369
01/08/15,78248,7072,10184,108919,204423
01/07/15,80877,6687,9603,108828,205995
01/06/15,90958,13809,19771,122199,246737
01/05/15,100531,19275,22821,129787,272414
01/04/15,94346,16747,25233,141977,278303
01/03/15,72859,11790,19254,135521,239424
01/02/15,54368,7367,13868,105950,181933
01/01/15,56368,7367,10922,89538,164195
01/12/14,60531,8386,13987,98988,181892
01/11/14,60874,9529,10063,104852,185318
01/10/14,97027,16152,11344,104272,228795
01/09/14,99135,17107,12399,96682,225323
01/08/14,79990,8703,12090,110803,211586
01/07/14,80880,9881,12489,121930,225180
01/06/14,83895,11530,12152,113271,220848
01/05/14,90032,15959,15958,118678,240627
01/04/14,85177,12954,16030,138232,252393
01/03/14,70882,10681,15528,122223,219314
01/02/14,50484,8739,13390,104943,177556
01/01/14,56363,8956,12443,90250,168012
